listing_id,id,date,reviewer_id,reviewer_name,comments
29973286,407129705,2019-02-01,84759347,Łukasz,"Nice, clean and comfortable apartment just 10 minutes on foot to Acropolis. Very close to the bus station and to the traditional Greek restaurant lostrekouzina. Very friendly and helpful host. Nice place to stay for reasonable price."
29973286,412249037,2019-02-15,62515232,Sissi,"非常好的环境,装修简洁大气有格调,房主很贴心,生活设施一应俱全,像在家里一样｡床单被套舒适,全新的房子很喜欢这个民宿,下次来住｡"
29973286,414583236,2019-02-20,28155995,Tijana,"We had perfect experience both with the apartment and our hosts! The apartment is super cozy, perfectly equipped, super clean and warm! Despite the description, the fact is that it has heating system and it works very good! There is also always hot water available. The hosts are super nice and helpful, reacting in a minute, responsive all the time. Location is pretty good, walking distance from Acropolis and city center.  I will totally recommend this apartment for a pleasant stay in Athens!:)"
29973286,415697218,2019-02-23,153679534,Dimitris,"Great place, close to the center!"
29973286,418033148,2019-03-01,124803334,George,Ολοκαίνουργιος χωρος..Καλό Σέρβις Καλό Σημείο Ήσυχο. Κοντά στο Κέντρο
29973286,419516207,2019-03-04,149010752,Roddy,Super comfortable. Could easily stay a week or two. Great value for the price!
29973286,420899572,2019-03-08,243938231,Shirel,Everything was very good. The apartment was clean and well prepared for our arrival. Kitchen and bathroom full with everything we could ever think about and all the place was very nice and pretty
29973286,425393601,2019-03-18,180549832,Ayrianna,This property was stunning. Very clean and modern inside with an incredible view of acropolis from the balcony! The hosts were very accommodating and had very fast response times. They had plenty of suggestions to do and see and eat. Looking forward to our next trip here! Thank you again!<br/>Ayrianna & Brady
29973286,426516906,2019-03-21,82495938,Mery,"Excelente anfitrión, llegue más tarde de lo que debía  y el amablemente accedió a esperarnos. El lugar es hermoso y lleno de detalles.<br/>Un día teníamos frío y llegaron enseñarnos cómo en Encedender.<br/>Sin dudas el mejor AirBNB"
29973286,429889515,2019-03-29,136419079,Gita,"Great apartment very clean, lots of natural light. Very close to the supermarket 2min walk, very close to the city centre. Great experience."
29973286,431913572,2019-04-02,55386917,Becca,This place is amazing! The apartment is sparkling clean and very modern and stylish. As a bonus there are two amazing Greek restaurants a minute round the corner that have excellent quality food and low prices.
29973286,435351670,2019-04-10,8268077,Alexey,"Cozy, clean apartment with good location and amazing view to the Parthenon!"
29973286,439006791,2019-04-18,27644879,Kim,Good location for walking to the Acropolis and other areas of Athens
29973286,443976012,2019-04-27,243717855,Anna Maria,"L'appartamento è vicino al centro città,  pulito e accogliente e con uno scorcio stupendo sul Partenone.  Esperienza bellissima, da ripetere."
29973286,445899351,2019-04-30,41043192,Laurie,"L'appartement est conforme à la description, parfaitement propre et décoré avec goût !! <br/>Très bien placé proche des stations de métro, et à 15 minutes à pied du centre ville. <br/>Nous avons apprécié la réactivité et la disponibilité de Kateryna et des autres. <br/>Bref je recommande sans hésiter."
29973286,449198294,2019-05-06,120126291,Maria,"The apartment is really nice - stylish, with new furniture, plenty of towels, not far from the metro stations and Acropolis. There is a big supermarket in 3 minutes walk and several cafes and restaurants near. <br/>Disadvantages -  a basketball playground across the street, it has been noisy sometimes."
29973286,449970062,2019-05-08,44659898,Dragoș,"Everything was as we expected! Great services, good communication, cozy apartment, great location, close to city center! You also have a supermarket at 3 min walk!"
29973286,451159956,2019-05-11,96237835,Cara,"Wonderful Air B&B close to the famous and historic sites of Athens. Easily accessible from the Athens public Metro, which was a huge plus! Beautiful views from the balcony. Sparkling clean and comfortable apartment. Hosts were very responsive and were very helpful with suggestions for things to do, see, and where to eat in the area. Two great restaurants just steps away from the apartment- which we truly enjoyed! (Also- a hair dryer is provided!)"
29973286,455770982,2019-05-20,40771390,Selina Andrea,Lovely appartement close to the Acropolis. We had a great stay. Thank you
29973286,457028786,2019-05-23,117692237,Luize,Amei
29973286,457973298,2019-05-25,59974573,Taka,Very helpful host.   Check in process is smooth and easy. Very easy to communicate. Sunny apt.<br/>There is small elevator and plus in Europe. Yes. Ofcourse I will recommend to others airbnb travellers.
29973286,460820321,2019-05-30,26048108,Iván,"Excellent place, much better than we expected, Konstantinos and Sevi are super hosts, very friendly and quick responses"
29973286,462304334,2019-06-02,257370440,Rebeca,apartamento impecable en barrio auténticamente griego y tranquilo.muy recomendable. volvería
29973286,464725661,2019-06-06,134407638,Vina,"homm place is very comfortable to live in, we stay here for four days. <br/>we loves the bed becouse very comfortable so we slept well. Kitchen utensils are also very complete. we cook breakfast every day. Very nice.<br/>if we go back to Athens we will come back here. this place is value for money"
29973286,467854071,2019-06-11,76489082,Audrey,Le logement est bien situé et très propre. Il correspond parfaitement aux photos. Très bon séjour au sein de cet appartement.
29973286,472244491,2019-06-19,206819508,Wim,Het is een geweldig en luxueus appartement. Van alle gemakken voorzien  en brandschoon bij aankomst. Wifi was prima en de smart tv geweldig. Ook het bed en met name de matras (wat ik zelf erg belangrijk vind) is prima van kwaliteit! Dat heb ik wel eens anders meegemaakt. Kortom een echte aanrader als je naar Athene gaat. Het metrostation Sygrou-fix is maar 8 minuten lopen en dan zit je met twee haltes in het centrum. Lopend is het een kwartiertje naar de Acropolis. Kortom ideaal gelegen en ook prima rustig. (klein) balkonnetje met uitzicht op Acropolis! Heerlijk om even te zitten na een dagje stad. <br/>Ook het feit dat de eigenaren vrijwel direct reageren op vragen of suggesties is perfect. Maakt de communicatie vlot en vriendelijk. Wij gaan hier nog wel naar terug!
29973286,475454329,2019-06-24,185043616,Christophe,"We had a lovely stay in Athena. The flat was well located, less than 10 minutes walk from metro station, less than 5 minutes walk from supermarket and about 100m from a very nice local restaurant which we highly recommend. The only little disappointment was the AC in the bedroom which did not work properly during our stay but otherwise everything was perfect !"
29973286,478678730,2019-06-30,234183353,Georgia,The apartment location is a 15 minute walk from the acropolis and the acropolis museum and a similar walk to Plaka. The apartment was just like in the photos and nicely air-conditioned. The “lime” scooters in town (which you can download an app to sign up) are great for getting about and are fun and cheap too! There were also 2 or 3 restaurants very near the apartment which I would highly recommend which are less touristy than those in Plaka. A 30 second walk from the apartment is a fantastic souvlaki shop where you can get a scrumptious pork or chicken wrap for only €2.20 - cannot recommend highly enough! Thanks for reading.
29973286,480603124,2019-07-03,62817486,Pierre,"Nous conseillons vivement ce logement pas très éloigné des quartier sympa d'Athènes, à 20 min à pieds de l'acropole et dans un quartier calme quand il n'y a pas de travaus sur le toit de l'école en face de l'appart.<br/>L'appart est parfait, propre et très bien équipé."
29973286,482154300,2019-07-06,160612722,Hannah,"A very clean and cool place with really good amenities for cooking, and lots of storage for clothes and luggage. Lots of space for two people. <br/><br/>About a 30 minute walk into the centre of Athens, which meant it was quiet for the night when you wanted to rest, or relax on the balcony, but you are still close to the city, and there are also good restaurants on the next street, plus a bakery and supermarket very close by.<br/><br/>We enjoyed our stay in this apartment."
29973286,484090745,2019-07-08,70196250,Rob,The apartment was clean and very well kept. Modern renovation and nice touches which are appreciated after long days exploring Athens in the heat!
29973286,490150047,2019-07-18,144973903,Adina,"We loved the place, there is no other way to put it! It was super clean, it has great amenities, it's super close to the city center, yet tucked away on a quiet street. The view was perfect, the check-in and check out were super easy and the communication was pretty much instant. 5/5 stars, it was perfect and I fully recommend it."
29973286,493772061,2019-07-23,76201906,Ana,"El apartamento es tal cual se muestra en las fotos, es cómodo, está limpio y todo nuevo. Dispone de una cocina equipada, incluso lavadora. <br/>Todo muy recomendable."
29973286,497966932,2019-07-29,90962296,Marta,"The location is comfy  to walk around the city, the apartment has everything you need. Perfect to visit and relax yourself."
29973286,502789567,2019-08-05,126153308,Fernando,"Nice apartment to visit Athens for a few days. 15 minutes walking to the center, a big supermarket closer. Great experience"
29973286,505256339,2019-08-09,44119570,Andrea,"Homm's place is amazing. It is a lovely apartment with incredible view of the acropolis, nice balcony,very clean and modern. Communication with the host was easy and quick and self check in was also available since we arrived late at night. Recommended!"
29973286,513793356,2019-08-20,4861799,Franky,The apartment is nicely renovated and very clean. Thank you
29973286,516196520,2019-08-24,79470469,Fabrice,"Super séjour à Athènes dans cet appartement ! <br/>Plutôt bien situé, à 15min à pied du musée de l’Acropole et à 20min de Plaka, attention (comme partout à Athènes) ça grimpe ! Juste à côté d’un grand supermarché. <br/>Bonnes adresses fournies par l’hôte (très belle expérience au 360 dégrée bar). <br/>Excellent rapport qualité prix, allez y les yeux fermés !"
29973286,518674736,2019-08-27,87081174,Yana,"Stylish space with nice touches. Balcony view was lovely. A little bit of a walk to the center, but nice if you wanna be away from tourists. <br/><br/>2 great restaurants nearby"
29973286,524067638,2019-09-05,184032328,Olga,"Апартаменты отличные, чисто, уютно, все соответствует фотографиям. Все новое, в хорошем состоянии, есть вся необходимая посуда. Однако обратите внимание, в ванной довольно низкие потолки, если вы выше 180 см, то вряд ли вы сможете там встать в полный рост. В остальном помещении потолки высокие."
29973286,527085802,2019-09-10,97769741,Paloma,"Apartamento muy cómodo a 15-20 minutos andando del centro de Atenas. Decoración simple pero bonita, con todo lo necesario para pasar unas buenas vacaciones. Está en un barrio residencial de clase media, con un par de restaurantes muy buenos y un supermercado a menos de 5 minutos a pie. Tiene aire acondicionado, ventiladores y Smart tv  La relación calidad-precio es muy buena. Lo único negativo podría ser que el techo del baño es un poco bajo (si no mides más de 1,83 no debería ser un problema) y que la cama no estaba hecha cuando llegamos (aunque había sábanas limpias). Recomendable 100%"
29973286,531300182,2019-09-17,125478019,Per,Flot lejlighed
29973286,534883765,2019-09-23,193935255,José,Nicely renovated apartment not very far from the city center.  Communication with the host was easy and quick. Recommended
29973286,536230076,2019-09-26,19787315,Marius,"Clean, new and nice apartment"
29973286,543151859,2019-10-07,82864175,Radek,"Sparkling clean, modern flat with all amenities such as air conditioning, fully equipped kitchen, WiFi and washing machine. Excellent place, highly recommend"
29973286,545959829,2019-10-13,23310944,Anatolij,"We had a very good stay at the apartment. The apartment itself was very clean and had a nice, modern feel to it. The view on the Akropolis is amazing! The area is quiet and residential, a supermarket is just around the corner. Note that the apartment is about 15min walk to the nearest metro station and 25-40min walk to anything of interest (Acropolis being the closest one, Ancient Agora, Plaka, museums, Psiri, ...) and that you'll be walking along some crowded, noisy roads full of cars (they do have pedestrian paths and traffic lights to cross though). We didn't end up buying a metro ticket, since it would have taken just as much time to walk anywhere, but we did walk a lot (which was also good and our iPhone step counter was happy :) ). Also note that when you book the place, you'll be communicating with a company, not a private host. The communication was quick and professional, however, most of the email responses felt sort of pre-fabricated and I often needed to ask several times to get an actual answer to my questions. That being said, the people were very helpful and accommodating. Overall, we can recommend this place for a stay in Athens, we had a wonderful time"
29973286,554345615,2019-10-26,82594125,Henry,Neat place in a great location. I hope to stay again on my next visit to Athens.
29973286,559460745,2019-11-04,239852161,Branko,"Great apartment for enjoying the holiday in Athens, close to the cultural spots and in the quiet street what is really good for Athens, the view is great, like the standard of the place itself"
29973286,568909241,2019-11-25,77026411,Nikhil,Excellent apartment. Clean and modern. Also it is just 20 mins walking distance to the main tourist attractions. There are also several restaurants nearby for you to satisfy your cravings
29973286,572612242,2019-12-03,291877324,Kelly,"Εξαιρετικός χώρος !! Η τοποθεσία άποψη , εξαιρετική θέα και πολύ καθαρό σπίτι !"
29973286,581238213,2019-12-24,11538387,Maria,"Great apartment, super cute, comfortable and clean. Ten minutes walking distance to the Acropolis and the Panathinaikon stadium. When I checked in the heating wasn’t working and the company send immediately someone to take a look. In a couple of days the whole thing was sorted. The host is very responsive and they always get back to my messages within a few minutes. I enjoyed my stay and I would definitely stay here again."
29973286,605656112,2020-02-15,327147974,Chloe,"Amazing location, quick responses and really lovely appartement. I really recommend it"
29973286,607920334,2020-02-19,112442467,Lia,"Τρομερό σπίτι , ειδικά η τοποθεσία εμένα προσωπικά κ νότια κ κέντρο που ηθελα με βόλεψε . Και σαν περιοχή πολύ καλή . Το σπίτι μέσα καθαρό τρομερό κρεβάτι άνετο . Το μόνο πρόβλημα που είχα είναι ότι δεν υπήρχε ζεστό Νερό . Εύχομαι να το λύσουν γρήγορα για τους επόμενους πελάτες . Γτ αξίζει σαν σπίτι . Ευχαριστώ για την διαμονή . Θα σας ξανά προτιμήσω ."
29973286,632816397,2020-06-28,229465424,Dimitris,Close to the center and public transportation. Stylish apartment and extremely comfortable bed! Quick responses and clear friendly communication.
29973286,639363036,2020-07-18,356131269,Κωνσταντίνα,Ήταν όλα πολύ ωραία !
29973286,646830473,2020-08-05,60377311,Gábor,"As the pictures suggest, very tasteful little flat, host was very hospitable and the communication was quick a helpful. Great location and very comfy bed! Highly recommended!"
29973286,648555295,2020-08-09,148833547,Bas,"We had an absolutely wonderful stay. The apartment is exactly as described in the ad: bright, modern, clean and equipped with literally everything you could possibly need during an Athens getaway. The apartment is located in a wonderful and quiet residential area, close to public transportation and super close to a big supermarket.<br/><br/>This was the second Homm property we rented and like last time we once again enjoyed outstanding service. No matter what time of the day, they always respond within minutes and the few small issues we had were taken care of either the same day or early in the morning the day after. <br/><br/>Definitely one to recommend and to come back to one day. Thanks for everything!"
29973286,650770243,2020-08-14,117157211,Magdalena,"Thank You for your great located and very well equipped flat, we enjoyed especially the ventilators, the fully equipped and beutiful kitchen and the balcony with the view to Acropolis. We recommend your flat and would like to come again :)"
29973286,657703337,2020-08-29,54165522,Katie,"This was a really lovely apartment for our time in Athens. Very close to the Acropolis and the First Cemetery of Athens. Lovely balcony with a view of the acropolis to relax on after a day of exploring,  and air conditioning for those hot summer nights. Great kitchen for cooking,  but if you can't be bothered we had the best gyros we've ever had right next door!"
29973286,660058813,2020-09-04,198695253,Pauline,"Appartement parfait propre avec des équipements en très bon état , à 10 bonnes minutes à pied du métro dans un quartier plutôt calme avec petite vue sur l’acropole même si c’est loin.<br/>La climatisation dans la pièce principale et dans la chambre est bien appréciable."
29973286,661478644,2020-09-07,63121294,Prosper,We had a wonderful stay in this appartement. It is well located and beautifully decorated.
29973286,664230561,2020-09-14,363798451,Martin,Super appartement
29973286,665611460,2020-09-19,56772943,Nikos,Πολύ καλό! Και αργοπορημένο τσεκαουτ τρεις ώρες χωρίς χρέωση!
29973286,668334029,2020-09-27,128186663,Basma,Un magnifique appartement pas loin du centre ville.<br/>J’ai adoré la décoration et la bienveillance de l’hôte.<br/>Il y’a tout ce qu’il vous fait pour passer un très bon séjour <br/>Je le recommande vivement ❤️
29973286,672808628,2020-10-10,206819508,Wim,"Voor ons de tweede keer dat we er waren. Het appartement is nog steeds heel mooi en van alle gemakken voorzien zoals tv, wifi, mooie keuken en wasmachine. Wees echter wel alert op het feit dat het appartement direct tegenover een kinderopvang en school staat. Doordeweeks overdag dus altijd het gegil en geschreeuw van kleine kinderen. Als je de hele dag op pad bent geen probleem maar als je even overdag op het balkon wilt zitten behoorlijk lawaaierig en storend. Ook de nieuw geplaatste lichtmasten voor de basketbalveldjes naast de school geven 's avonds tot 22.45 fel licht. Ook op je balkon waardoor je niet meer goed de contouren en de lichtjes van de stad kunt zien plus altijd gestuiter van basketballen en schreeuwende jongeren.. Voor hen perfect dat ze veel kunnen sporten maar als bewoner (voor ons) wel jammer van de plek. Als je tenminste af en toe ook wat rust wilt."
29973286,706364471,2020-11-03,245771107,Doris,Nett eingerichtetes sauberes Apartment mit viel Stauraum und guter Ausstattung. Für einen längeren Aufenthalt sehr gut geeignet.
29973286,715145661,2020-12-13,367319012,Κοσμας,Πολύ καλή εμπειρία.
29973286,719058205,2020-12-28,327808908,Ευγενία,"Το διαμέρισμα ήταν πολύ ωραίο, ίδιο με τις φωτογραφίες, καθαρό. Το μοναδικό μειονέκτημα για εμάς ήταν πως τη θέα της Ακρόπολης εμπόδιζε ένας προβολέας από το σχολείο δίπλα ο οποίος ήταν ανοιχτός μέχρι κάποια ώρα το βράδυ. Παρόλα αυτά η θέα ήταν απολαυστική."
29973286,725151771,2021-01-18,281631651,Αννα Μαρια,πολύ ωραίο διαμέρισμα και το πιο βασικό είναι ότι είναι πολύ καθαρό!! άψογη επικοινωνία και άμεσες απαντήσεις
29973286,728344407,2021-02-01,352890996,Dennisia,"Stylish and comfortable apartment with a fully stocked kitchen and partial Acropolis view. Nice size TV with Netflix, comfortable couch & bed! Constant hot water, quick & easy communication, effortless checkin & checkout. Great experience overall! : )"
29973286,737484142,2021-03-08,367319012,Κοσμας,Εξαιρετικό.
29973286,745245933,2021-04-04,315117806,Elena,"Τέλειο διαμέρισμα, παρα πολυ καθαρο. Ο χώρος μύριζε πάρα πολυ ωραία. Μεγάλο και άνετο κρεβάτι, η κουζίνα πλήρως εξοπλισμένη, με smart tv, θέα Ακρόπολη και Λυκαβηττό, στην καρδιά της Αθήνας, με σούπερ μάρκετ στα 200 μ.. Το συνιστώ ανεπιφύλακτα και σίγουρα θα ξανα μείνουμε. ευχαριστούμε πολυ"
29973286,754615018,2021-05-03,214793370,Webhelp,Thank you for the amazing place and hospitality! We will come back for sure!
29973286,765286032,2021-06-01,51931114,Elena,"The apartment is clean and very comfortable, for a couple is perfect. The kitchen is fully equipped and one can cook if necessary. The bed is very good, mattress is soft, bed linen and towels are fresh and clean. There is a small balcony with a partial view of Acropolis, but opposite of the building is a primary school and a basketball playground, so during the day it's a bit noisy, but if you're not bothered about it then it'd be ok. There are few supermarkets in the vicinity with a good choice of food. Metro stations Neos Kosmos and Agios Ioannis are in 10 mins walk. To Acropolis 20 mins walk. The Host is very friendly and helpful and replies on messages immediately. We spent great time there and next time in Athens will stay there again. Thank you Homm! Recommend it!"
29973286,766847188,2021-06-06,315117806,Elena,Είναι η δεύτερη φορα που μένουμε εκει. Το σπίτι πεντακάθαρο και η επικοινωνία με τον οικοδεσπότη άμεση<br/>Μάλιστα ξεχασα το φορτιστή μου και ευτυχώς τον είχαν κρατήσει και μπόρεσα και τον πήρα πίσω. <br/>Ευχαριστούμε πολύ!!!
29973286,386710699374639703,2021-06-17,51119611,Thodoris,"Good communication, clean and cozy , nice spot, near the center."
29973286,408366053749878682,2021-07-17,264463215,Yashar,Good and clean
